name,Source,Cite
MM2008-L,Ross Mounce,"Lambert, O. A new porpoise (cetacea, odontoceti, phocoenidae) from the pliocene of the north sea. Journal of Vertebrate Paleontology 28:863-872."
MM2008-MH,Ross Mounce,"Montellano, M., Hopson, J. A. & Clark, J. M. Late early jurassic mammaliaforms from huizachal canyon, tamaulipas, m_xico. Journal of Vertebrate Paleontology 28, 1130-1143 (2008). URL http://dx.doi.org/10.1671/0272-4634-28.4.1130."
MM2008-R,Ross Mounce,Rose 2008
MM2009-B,Ross Mounce,Beard 2009
MM2009-F,Ross Mounce,"Flores, D. A. 2009. Phylogenetic analyses of postcranial skeletal morphology in didelphid marsupials. Bulletin of the American Museum of Natural History 320:1-81"
MM2009-HM,Ross Mounce,"Horovitz, I., Martin, T., Bloch, J., Ladevèze, S., Kurz, C., and S‡nchez-Villagra, M. R. 2009. Cranial anatomy of the earliest marsupials and the origin of opossums. PLoS ONE 4:e8278+."
MM2009-JL,Ross Mounce,"Ji, Q., Luo, Z.-X., Zhang, X., Yuan, C.-X., and Xu, L. 2009. Evolutionary development of the middle ear in mesozoic therian mammals. Science 326:278-281."
MM2009-KH,Ross Mounce,"Kusuhashi, N., Hu, Y., Wang, Y., Hirasawa, S., and Matsuoka, H. 2009. New triconodontids (mammalia) from the lower cretaceous shahai and fuxin formations, northeastern china. Geobios 42:765_781. CRANIODENTAL DATA ONLY, adds one new taxon to RougierEA07b"
MM2009-T,Ross Mounce,"Tedford, R.H. et al, 2009. Phylogenetic Systematics of the North American Fossil Caninae (Carnivora:Canidae). BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY 325:218"
MM2010-A,Ross Mounce,Asher 2010
MM2010-AA,Ross Mounce,"Averianov, A. O., Archibald, J. D., and Ekdale, E. G. 2010. New material of the late cretaceous deltatheroidan mammal <i>Sulestes</i> from uzbekistan and phylogenetic reassessment of the metatherian-eutherian dichotomy. Journal of Systematic Palaeontology 8:301-330."
MM2010-BW,Ross Mounce,"Bai, B., Wang, Y., and Meng, J. 2010. New craniodental materials of litolophus gobiensis (perissodactyla, Ó eomoropidaeÓ) from inner mongolia, china, and phylogenetic analyses of eocene chalicotheres. American Museum Novitates pp. 1-27."
MM2010-MD,Ross Mounce,"Mihlbachler, Matthew C and Dem_r_, Thomas A(2010) 'Phylogenetic status of Metarhinus pater (Brontotheriidae: Perissodactyla) from Southern California and species variation in Metarhinus from the middle Eocene of North America', Journal of Vertebrate Paleontology, 30: 4, 1229 Ñ 1244"
MM2011-GR,Ross Mounce,"Gaetano, L. C. & Rougier, G. W. New materials of argentoconodon fariasorum (mammaliaformes, triconodontidae) from the jurassic of argentina and its bearing on triconodont phylogeny. Journal of Vertebrate Paleontology 31, 829-843 (2011). URL http://dx.doi.org/10.1080/02724634.2011.589877."
MM2014-AH,Ross Mounce,"Asher and Hofreiter, In Press. Tenrec Phylogeny and the Noninvasive Extraction of Nuclear DNA. Syst. Biol."
GS2015-CB,Google Scholar,"Chester, Stephen GB, et al. ""Oldest known euarchontan tarsals and affinities of Paleocene Purgatorius to Primates."" Proceedings of the National Academy of Sciences 112.5 (2015): 1487-1492."
GS2012-CA,Google Scholar,"Chimento, Nicol‡s R., Federico L. Agnolin, and Fernando E. Novas. ""El mam’fero f—sil Necrolestes de Patagonia: un superviviente Ne—geno de los Dryolestoidea.""ÊRevista del Museo Argentino de Ciencias NaturalesÊ14.2 (2012): 261-306."
GS1997-V,Google Scholar,"Faith, J. Tyler, et al. ""Taxonomic status and paleoecology of< i> Rusingoryx atopocranion</i>(Mammalia, Artiodactyla), an extinct Pleistocene bovid from Rusinga Island, Kenya."" Quaternary Research 75.3 (2011): 697-707."
GS2014-FG,Google Scholar,"Forasiepi, Anal’a M., et al. ""A unique, Late Oligocene shrew-like marsupial from western Argentina and the evolution of dental morphology."" Journal of Systematic Palaeontology 12.5 (2014): 549-564."
GS2014-GT,Google Scholar,"Gurovich, Yamila, et al. ""Biogeographical implications of a new mouse-sized fossil bandicoot (Marsupialia: Peramelemorphia) occupying a dasyurid-like ecological niche across Australia."" Journal of Systematic Palaeontology 12.3 (2014): 265-290."
GS2014-MaL,Google Scholar,"Machado, Leonardo F., et al. ""Phylogeny and biogeography of tetralophodont rodents of the tribe Oryzomyini (Cricetidae: Sigmodontinae)."" Zoologica Scripta 43.2 (2014): 119-130."
GS2015-MB,Google Scholar,"Manz, Carly L., and Jonathan I. Bloch. ""Systematics and Phylogeny of Paleocene-Eocene Nyctitheriidae (Mammalia, Eulipotyphla?) with Description of a new Species from the Late Paleocene of the Clarks Fork Basin, Wyoming, USA."" Journal of Mammalian Evolution (2015): 1-36."
GS2015-MC,Google Scholar,"Manz, Carly L., et al. ""New partial skeletons of Palaeocene Nyctitheriidae and evaluation of proposed euarchontan affinities."" Biology letters 11.1 (2015): 20140911."
GS2015-ME,Google Scholar,"Marivaux, Laurent, et al. ""The early evolutionary history of anomaluroid rodents in Africa: new dental remains of a zegdoumyid (Zegdoumyidae, Anomaluroidea) from the Eocene of Tunisia."" Zoologica Scripta 44.2 (2015): 117-134."
GS2014-MG,Google Scholar,"Medina, Cesar E., et al. ""A new species of Eumops (Chiroptera: Molossidae) from southwestern Peru."" Zootaxa 3878.1 (2014): 019-036."
GS2011-R,Google Scholar,"Rincon, Aldo Fernando. New Early Miocene (Arikareean) Artiodactyls from Panama, Central America. Diss. University of Florida, 2011."
GS2015-RS,Google Scholar,"Rinc—n, Ascanio D., et al. ""Palaeothentid Marsupials of the Salla Beds of Bolivia (Late Oligocene): Two New Species and Insights into the Post-Eocene Radiation of Palaeothentoids."" Journal of Mammalian Evolution (2015): 1-17."
GS2015-RR,Google Scholar,"Robinet, C_line, et al. ""A new genus of Lophiodontidae (Perissodactyla, Mammalia) from the early Eocene of La Borie (Southern France) and the origin of the genus Lophiodon Cuvier, 1822."" Geobios 48.1 (2015): 25-38."
GS2013-MS,Google Scholar,"SMITH, Thierry, et al. ""A new species of Archaeoryctes from the Middle Paleocene of China and the phylogenetic diversification of Didymoconidae."" Geologica Belgica (2013)."
GS2014-B,Google Scholar,"Tabuce, Rodolphe. Evolution des caractères cr‰niens et endocr‰niens chez les Afrotheria (Mammalia) et phylog_nie du groupe. Diss. Universit_ de Montpellier II, 2014."
GS2014-TaF,Google Scholar,"Tanaka, Yoshihiro, and R. Ewan Fordyce. ""Fossil dolphin Otekaikea marplesi (latest Oligocene, New Zealand) expands the morphological and taxonomic diversity of Oligocene cetaceans."" (2014): e107972."
GS2014-VO,Google Scholar,"Verzi, Diego H., A. Itat’ Olivares, and Cecilia C. Morgan. ""Phylogeny, evolutionary patterns and timescale of South American octodontoid rodents: the importance of recognising morphological differentiation in the fossil record."" Acta Palaeontologica Polonica (2013)."
GS2013-V,Google Scholar,"Vo§, Manja. Revision of the Halitherium-species complex (Mammalia, Sirenia) from the late Eocene to early Miocene of Central Europe and North America. Diss. Humboldt-Universit_t zu Berlin, Mathematisch-Naturwissenschaftliche Fakult_t I, 2014."
GS2014-Y,Google Scholar,"Yates, Adam M. ""New craniodental remains of Thylacinus potens (Dasyuromorphia: Thylacinidae), a carnivorous marsupial from the late Miocene Alcoota Local Fauna of central Australia.""ÊPeerJÊ2 (2014): e547."
